Timestamp,Signature ID,Event Description,Classification,Priority,Protocol,Source IP:Port,Destination IP:Port
03/18/2024-00:36:09.295661,**,,ET CINS Active Threat Intelligence Poor Reputation IP group 47,Classification: Misc Attack,Priority: 2,,
03/18/2024-00:36:13.442381,**,,ET INFO SSH-2.0-Go version string Observed in Network Traffic,Classification: Misc activity,Priority: 3,,
03/18/2024-00:36:39.174674,**,,ET SCAN Potential SSH Scan,Classification: Attempted Information Leak,Priority: 2,,
03/18/2024-00:37:27.548385,**,,ET HUNTING ZIP file exfiltration over raw TCP,Classification: Misc activity,Priority: 3,,
03/18/2024-00:38:10.369842,**,,ET POLICY curl User-Agent Outbound,Classification: Attempted Information Leak,Priority: 2,,
03/18/2024-00:38:10.372051,**,,GPL ATTACK_RESPONSE id check returned root,Classification: Potentially Bad Traffic,Priority: 2,,
03/18/2024-00:38:17.956667,**,,ET INFO SSH-2.0-Go version string Observed in Network Traffic,Classification: Misc activity,Priority: 3,,
03/18/2024-00:38:45.550116,**,,ET SCAN Potential SSH Scan,Classification: Attempted Information Leak,Priority: 2,,
03/18/2024-00:40:15.547220,**,,ET POLICY Unsupported/Fake Windows NT Version 5.0,Classification: Potential Corporate Privacy Violation,Priority: 1,,
03/18/2024-00:40:21.305425,**,,ET 3CORESec Poor Reputation IP group 9,Classification: Misc Attack,Priority: 2,,
03/18/2024-00:40:23.609967,**,,ET INFO SSH-2.0-Go version string Observed in Network Traffic,Classification: Misc activity,Priority: 3,,
03/18/2024-00:40:41.068367,**,,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,,
03/18/2024-00:40:41.292642,**,,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,,
03/18/2024-00:40:54.894113,**,,ET SCAN Potential SSH Scan,Classification: Attempted Information Leak,Priority: 2,,
03/18/2024-00:42:28.362789,**,,ET INFO SSH-2.0-Go version string Observed in Network Traffic,Classification: Misc activity,Priority: 3,,
03/18/2024-00:43:00.282100,**,,ET SCAN Potential SSH Scan,Classification: Attempted Information Leak,Priority: 2,,
03/18/2024-00:44:23.017656,**,,ET INFO Request to Hidden Environment File - Inbound,Classification: Misc activity,Priority: 3,,
03/18/2024-00:44:23.072773,**,,ET SCAN Laravel Debug Mode Information Disclosure Probe Inbound,Classification: Attempted Information Leak,Priority: 2,,
03/18/2024-00:44:28.716268,**,,ET INFO SSH-2.0-Go version string Observed in Network Traffic,Classification: Misc activity,Priority: 3,,
03/18/2024-00:44:56.070266,**,,ET SCAN Potential SSH Scan,Classification: Attempted Information Leak,Priority: 2,,
03/18/2024-00:45:15.421891,**,,ET POLICY Unsupported/Fake Windows NT Version 5.0,Classification: Potential Corporate Privacy Violation,Priority: 1,,
03/18/2024-00:45:21.996275,**,,ET DROP Spamhaus DROP Listed Traffic Inbound group 22,Classification: Misc Attack,Priority: 2,,
03/18/2024-00:45:21.996275,**,,ET 3CORESec Poor Reputation IP group 6,Classification: Misc Attack,Priority: 2,,
03/18/2024-00:46:27.206381,**,,ET 3CORESec Poor Reputation IP group 15,Classification: Misc Attack,Priority: 2,,
03/18/2024-00:46:27.250748,**,,ET INFO SSH-2.0-Go version string Observed in Network Traffic,Classification: Misc activity,Priority: 3,,
03/18/2024-00:46:31.384633,**,,ET INFO SSH-2.0-Go version string Observed in Network Traffic,Classification: Misc activity,Priority: 3,,
03/18/2024-00:46:58.711081,**,,ET SCAN Potential SSH Scan,Classification: Attempted Information Leak,Priority: 2,,
03/18/2024-00:47:05.993991,**,,ET INFO Request to Hidden Environment File - Inbound,Classification: Misc activity,Priority: 3,,
03/18/2024-00:47:06.035286,**,,ET SCAN Laravel Debug Mode Information Disclosure Probe Inbound,Classification: Attempted Information Leak,Priority: 2,,
03/18/2024-00:47:54.184988,**,,SURICATA STREAM Packet with invalid timestamp,Classification: Generic Protocol Command Decode,Priority: 3,,
03/18/2024-00:47:54.185332,**,,SURICATA STREAM Packet with invalid timestamp,Classification: Generic Protocol Command Decode,Priority: 3,,
03/18/2024-00:48:12.263920,**,,ET CINS Active Threat Intelligence Poor Reputation IP group 64,Classification: Misc Attack,Priority: 2,,
03/18/2024-00:48:15.243176,**,,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,,
